SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ACCURACY, BE, 27-Jul-2026,5.03,5.03,5.08,4.78,4.97,4.97,4.91,94728,4.65,195, -, -
ACE, EQ, 27-Jul-2026,1039.4,1050,1075.3,1042.6,1057.9,1061.8,1065.83,716079,7632.2,31157,279922,39.09
ACEINTEG, EQ, 27-Jul-2026,19.7,19.89,19.94,19.29,19.31,19.31,19.44,306,0.06,30,211,68.95
ACI, EQ, 27-Jul-2026,554.85,557,584.9,556.95,572.1,576.75,576.6,261051,1505.23,16522,131440,50.35
ACL, EQ, 27-Jul-2026,47.06,47.06,49.9,47.06,48.9,48.42,48.55,71611,34.77,449,32042,44.74
ACMESOLAR, EQ, 27-Jul-2026,365.85,370,371,358.4,361,362.4,364.33,2262264,8242.13,52213,1078717,47.68
ACSTECH, EQ, 27-Jul-2026,40.82,42.05,42.05,40.3,40.41,40.51,40.77,222692,90.79,658,166995,74.99
ACUTAAS, EQ, 27-Jul-2026,3259.5,3273.9,3477,3216.2,3351.2,3367.8,3383.77,526067,17800.92,51533,170335,32.38
ADANIENSOL, EQ, 27-Jul-2026,1702.2,1719.6,1719.6,1678.1,1708,1703.3,1696.5,2632783,44665.29,48974,1342405,50.99
ADANIENT, EQ, 27-Jul-2026,3026.4,3045.1,3057.4,3008.1,3035,3036.6,3031.55,636870,19307.06,33709,165620,26.01
ADANIGREEN, EQ, 27-Jul-2026,1395.1,1410.2,1418.2,1390.1,1397.7,1399.7,1401.76,1695918,23772.76,43934,486300,28.67
ADANIPORTS, EQ, 27-Jul-2026,1768.3,1784,1785,1752.1,1767.8,1770.4,1764.02,2266975,39989.98,98219,1444861,63.74
ADANIPOWER, EQ, 27-Jul-2026,213.66,214.23,215.75,213.15,213.84,213.96,214.19,14546955,31158.08,81663,5253501,36.11
ADDICTIVE, SM, 27-Jul-2026,40,41,42,41,42,41.9,41.97,49500,20.78,41,49000,98.99
ADFFOODS, EQ, 27-Jul-2026,307.05,308,319.6,308,313.45,314.4,314.79,196201,617.62,6161,84085,42.86
ADISOFT, SM, 27-Jul-2026,183.5,183,183,170,179.9,177.1,175.66,129600,227.66,114,95200,73.46
ADL, EQ, 27-Jul-2026,73.49,73.49,73.49,70.1,70.2,70.2,70.56,146,0.1,13,138,94.52
ADOR, EQ, 27-Jul-2026,1493.9,1493.1,1531.8,1481.6,1515,1523,1509.89,41485,626.38,5228,22117,53.31
ADROITINFO, EQ, 27-Jul-2026,9.25,9.25,9.69,8.66,9.03,9.15,9.06,35328,3.2,145,23075,65.32
ADSL, EQ, 27-Jul-2026,118.14,119.2,119.25,115.68,115.7,116.36,117.02,167478,195.99,2881,74392,44.42
ADVAIT, EQ, 27-Jul-2026,2252.4,2280,2336.9,2254.5,2301,2314.8,2304.65,32104,739.89,5129,16935,52.75
